"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"3183",1432.40015979451,-4.52349712874567,0.142649929348813,-31.7104757737709,1.1142183172124e-220,4.99169806111155e-218
"91828",58.2842234383409,-3.47820360534797,0.375671633985405,-9.25862719111525,2.07077412382055e-20,8.43369824974187e-19
"81537",1106.56971762968,-2.75754768126593,0.130103490989373,-21.1950322031802,1.06126034080731e-99,2.37722316340838e-97
"4776",97.461818194366,-2.24586186354094,0.255656305034135,-8.78469186684474,1.56793739271017e-18,4.94302089387694e-17
"283624",29.5352007313394,-2.24001491381734,0.405813908150946,-5.51980814069129,3.39369993363115e-08,4.34393591504787e-07
"4053",135.522149417936,-2.11428205785264,0.24084465907166,-8.77861301139987,1.6550293171463e-18,4.94302089387694e-17
"85446",82.5670990089107,-2.00352501351428,0.263740884783949,-7.59656590655457,3.04092459703197e-14,7.17018010247538e-13
"10484",1400.24185534692,-1.85837786734961,0.121197313100289,-15.3334906510001,4.56766676123494e-53,6.82104903011085e-51
"55701",344.20811516999,-1.73961736041058,0.163991210221822,-10.6079914774548,2.73566503516169e-26,1.75082562250348e-24
"1112",413.054950570526,1.71225867245646,0.144915703196688,11.8155495552644,3.2442057374712e-32,2.9068083407742e-30
"26020",5310.95322880689,-1.70905823813073,0.143517145685143,-11.9083906662983,1.07022910135238e-32,1.19865659351466e-30
"6038",32.4914429792246,-1.69968784664343,0.366391606851103,-4.63899231003443,3.50112079027611e-06,2.58385770343617e-05
"57156",5.40571279381349,-1.67288939044111,0.661374876801022,-2.52941175892959,0.0114253899724891,0.0271297790944442
"731223",1.9671026203033,-1.6631520358834,0.729790796053574,-2.27894356146595,0.0226704204780558,NA
"5228",24.9520902859294,-1.66212943841284,0.418983607463788,-3.9670512373363,7.27673532212441e-05,0.00037906714236183
"100289511",87.8236602256995,-1.56877555472898,0.279314024795923,-5.61652983904117,1.94830617205936e-08,2.64497322752301e-07
"117153",2.51057825696152,-1.56229986614111,0.728707809352641,-2.14393182849105,0.0320383494699092,0.0639014161814284
"64207",837.459611647065,-1.55593023990358,0.140965473336716,-11.0376690339416,2.51472224057808e-28,1.87765927296496e-26
"51062",20.0323159397424,-1.55388086562808,0.435311134374935,-3.56958676891944,0.000357544779217963,0.00146954184485915
"145553",4.81655530302247,-1.54751717547855,0.671233003068312,-2.30548433763627,0.0211394629389538,0.045751108196383
"10243",338.746609584515,-1.54194126450271,0.156307175438636,-9.86481433226364,5.9143766881063e-23,3.31205094533953e-21
"57523",53.2587591296687,-1.50299458765496,0.299482795871286,-5.01863415319833,5.2040146572385e-07,4.69605248272374e-06
"83982",10.8825096069583,-1.48573332331613,0.540152626758592,-2.75058057614545,0.0059489758844623,0.0164514888656735
"623",4.44636529012901,-1.45389193760792,0.673415172028592,-2.1589830434444,0.0308514824660318,0.0619796598420729
"23428",465.75556990637,-1.44283570918619,0.152805630779627,-9.44229412113101,3.64705388049678e-21,1.63388013846256e-19
"80757",3.97991438538255,-1.40720034199387,0.691136219604602,-2.03606800233813,0.0417435272586461,0.0799192316746729
"55320",238.966477802658,1.38896184417887,0.202430797920733,6.86141564646082,6.81814611029793e-12,1.32805628583194e-10
"79686",22.1405377031261,1.38080312985046,0.387682207339192,3.56168816548851,0.00036847788118727,0.00150070991610816
"2353",180.28473241364,-1.37714962702149,0.219469882000525,-6.2748911808236,3.49878909654846e-10,5.80539820464336e-09
"100288846",6.13470711409441,-1.3658476601296,0.624759870613376,-2.18619620813456,0.0288012535736109,0.0586498254589895
"400221",0.974675560282545,-1.34592932682023,0.694561692801581,-1.9378110551869,0.0526462785117864,NA
"55812",15.7757619629031,-1.32903981572061,0.467486530113565,-2.84294782867381,0.00446983865153918,0.0128364597172407
"3306",946.728724035196,-1.30836085245296,0.153920421934333,-8.50024211219445,1.8919567401043e-17,5.29747887229204e-16
"5583",10.2596742151672,-1.3059745576008,0.541578416948674,-2.41142282766516,0.0158904143243273,0.0360168753156853
"122769",177.230285283856,1.30022612451547,0.171848110281372,7.56613571360531,3.84490364494892e-14,8.61258416468559e-13
"9369",327.512279792085,-1.2986791099135,0.153417364982469,-8.46500726995215,2.56136714674227e-17,6.74995577494434e-16
"25938",2940.80984818683,-1.24943045176459,0.128083761393273,-9.75479200621142,1.75961002141004e-22,8.75894766212997e-21
"7080",39.9797438561718,-1.23377091972103,0.321577710150241,-3.83661827539172,0.000124740133499521,0.000576119379461705
"9472",71.9883051049858,-1.22309036440844,0.251412913655463,-4.86486691007675,1.14533850830321e-06,9.32930275854249e-06
"90668",14.4440661626902,-1.22071567267618,0.483546072224984,-2.52450747259552,0.0115860541702236,0.0273186961487376
"145447",2.09685833455682,1.19563219242626,0.73157338941382,1.63432980166797,0.102189619324906,NA
"5687",62.354573094425,-1.1872684016993,0.287257676434532,-4.13311287773328,3.57882850787495e-05,0.000208222749549088
"283547",2.40093478925935,-1.18083334540971,0.726772496244827,-1.6247633908974,0.104212984371431,NA
"7253",0.879171747422991,-1.17519089359932,0.675137230259378,-1.74066966081522,0.0817414992702238,NA
"122416",415.961946881745,-1.17435665390991,0.355753515247696,-3.30104019658739,0.000963270808372096,0.0034249628742119
"84334",54.2512832894478,1.1433387891006,0.260016835963868,4.39717214795845,1.09670361316364e-05,7.22534145143106e-05
"97",90.1519744789873,1.12694944145441,0.217735052457569,5.17578326840149,2.26956797454968e-07,2.25603810221508e-06
"196872",15.7593489679742,-1.12367315956595,0.444350633099326,-2.52879837647215,0.0114453755554687,0.0271297790944442
"122616",113.349294456021,-1.11472480377903,0.22260554875543,-5.00762361949812,5.5106158935075e-07,4.84069788292424e-06
"145482",46.4020593503469,1.1088341336381,0.278308701288859,3.98418780477595,6.77113089376902e-05,0.000361126981001014
"89932",681.292332079321,-1.09389329764706,0.142895654664534,-7.65518937727752,1.93027575976792e-14,4.80424189097793e-13
"79446",200.297567743048,-1.08659232599486,0.171699779013473,-6.32844335757474,2.47646729534503e-10,4.43782939325829e-09
"145483",26.2372438697388,-1.0819372654162,0.394151208445639,-2.74498020615716,0.00605145475255693,0.0166322191972117
"113146",8091.8204447092,-1.06040850099806,0.117993155913062,-8.9870339749144,2.53992126641034e-19,8.75295944116794e-18
"3320",9589.96294823561,1.05902675815388,0.117077327549075,9.04553238721627,1.489376137666e-19,5.56033758061975e-18
"2287",149.792366848785,-1.05205839830652,0.232812801346378,-4.51890270733556,6.21609492662488e-06,4.42033417004436e-05
"440193",553.897351675936,1.04518810852461,0.149294487265307,7.00084864263766,2.54416682354357e-12,5.18084880430691e-11
"256369",0.701899246796241,-1.02704072659222,0.654302908901173,-1.56967164996563,0.116491519980812,NA
"1033",151.151456683266,1.02235205325258,0.194235517821479,5.26346604740035,1.41364624015627e-07,1.50788932283336e-06
"7011",393.149102247071,-1.01811559110806,0.151810213548844,-6.70650259496861,1.99344304318901e-11,3.72109368061948e-10
"376267",20.9890059390901,1.00660938767154,0.391700951193329,2.56984157073114,0.0101745033734847,0.0248959000389302
"55333",236.474895409753,-0.990285186257954,0.184922192044451,-5.35514518462939,8.54877463379526e-08,9.34110008765921e-07
"9495",11.2550212796222,0.968066197098626,0.512272398980966,1.88974888950555,0.0587915521164752,0.104105199004668
"122786",78.9553417891622,-0.954789277524657,0.24946765726316,-3.82730686614603,0.000129552963347783,0.000592242118161295
"387990",6.16710103651015,0.952202002872035,0.606639241618118,1.56963469809863,0.116500121331762,0.189101646219671
"5083",108.475141844886,0.91754560883159,0.220373762126575,4.16358826013319,3.13284844360007e-05,0.000187135480364377
"57452",0.593146932225047,-0.910528037565311,0.633755269119884,-1.43671868611016,0.150797943220308,NA
